date,open,high,low,close,volume
2026-08-19 13:20:00+05:30,24047.0,24050.45,24038.0,24040.8,2030275.0
2026-08-19 13:25:00+05:30,24041.9,24045.5,24038.2,24043.8,2277776.0
2026-08-19 13:30:00+05:30,24045.4,24045.4,24039.35,24043.6,1452887.0
2026-08-19 13:35:00+05:30,24044.3,24046.05,24037.75,24043.35,1947436.0
2026-08-19 13:40:00+05:30,24044.95,24050.6,24038.2,24044.35,2396586.0
2026-08-19 13:45:00+05:30,24045.7,24052.7,24041.55,24043.4,2591834.0
2026-08-19 13:50:00+05:30,24045.45,24047.5,24037.15,24039.65,1784000.0
2026-08-19 13:55:00+05:30,24042.2,24045.55,24035.7,24042.4,2376913.0
2026-08-19 14:00:00+05:30,24044.0,24050.35,24041.15,24050.05,1965343.0
2026-08-19 14:05:00+05:30,24051.6,24059.3,24047.2,24052.4,2218570.0
2026-08-19 14:10:00+05:30,24055.45,24062.6,24051.2,24056.65,1988330.0
2026-08-19 14:15:00+05:30,24058.5,24064.55,24046.3,24046.9,2179394.0
2026-08-19 14:20:00+05:30,24049.45,24050.05,24037.45,24038.4,2644735.0
2026-08-19 14:25:00+05:30,24040.0,24040.15,24025.65,24033.45,2953228.0
2026-08-19 14:30:00+05:30,24034.4,24045.4,24026.65,24043.85,2607382.0
2026-08-19 14:35:00+05:30,24045.6,24086.5,24041.85,24085.25,4277393.0
2026-08-19 14:40:00+05:30,24087.05,24087.05,24044.6,24050.2,3226815.0
2026-08-19 14:45:00+05:30,24051.85,24054.5,24040.75,24050.85,2710851.0
2026-08-19 14:50:00+05:30,24053.2,24053.2,24039.75,24043.4,3182121.0
2026-08-19 14:55:00+05:30,24045.75,24053.15,24042.6,24050.45,5166009.0
2026-08-19 15:00:00+05:30,24053.0,24058.6,24047.35,24052.7,5225122.0
2026-08-19 15:05:00+05:30,24052.4,24065.35,24048.6,24051.05,6654942.0
2026-08-19 15:10:00+05:30,24049.7,24051.05,24036.45,24037.95,8238662.0
2026-08-19 15:15:00+05:30,24037.75,24057.45,24034.2,24048.55,6972461.0
2026-08-19 15:20:00+05:30,24048.55,24048.55,24048.55,24048.55,915.0
2026-08-19 15:25:00+05:30,24048.55,24048.55,24048.55,24048.55,915.0
2026-08-19 15:30:00+05:30,24048.55,24078.3,24048.55,24078.3,732.0
2026-08-20 09:15:00+05:30,24225.2,24225.2,24197.35,24214.4,4318038.0
2026-08-20 09:20:00+05:30,24213.45,24222.0,24189.3,24193.75,8713141.0
2026-08-20 09:25:00+05:30,24193.65,24199.5,24184.55,24195.25,5125709.0
2026-08-20 09:30:00+05:30,24194.9,24201.6,24188.95,24191.45,5767310.0
2026-08-20 09:35:00+05:30,24190.65,24209.65,24185.1,24204.8,5697312.0
2026-08-20 09:40:00+05:30,24205.5,24210.7,24196.35,24210.0,4323057.0
2026-08-20 09:45:00+05:30,24209.5,24214.6,24201.15,24214.15,3454135.0
2026-08-20 09:50:00+05:30,24213.3,24215.05,24199.25,24200.75,3177015.0
2026-08-20 09:55:00+05:30,24199.5,24209.15,24195.95,24207.1,4015729.0
2026-08-20 10:00:00+05:30,24207.35,24214.25,24203.55,24208.0,3359486.0
2026-08-20 10:05:00+05:30,24207.95,24211.45,24199.7,24207.3,2568817.0
2026-08-20 10:10:00+05:30,24206.35,24216.65,24204.0,24216.3,4348125.0
